STABBR,UNITID,CITY,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
PA,210748,Altoona,16602-6039,,53.0,,
PA,210775,Reading,19607-1799,0.7081,2231.0,33640.0,
PA,210784,Ambler,19002,,115.0,,
PA,210809,King of Prussia,19406,,8354.0,,
PA,210890,Erdenheim,19038-8242,,71.0,19890.0,
PA,210942,Philadelphia,19103-5198,,842.0,17914.0,
PA,210951,Lower Burrell,15068,,130.0,,
PA,210960,Pittsburgh,15222,,431.0,17626.0,
PA,211006,Exton,19341-1310,,304.0,,
PA,211024,South Abington Township,18411-1250,0.5508,498.0,23890.0,
PA,211079,Monaca,15061-2588,,1768.0,5880.0,
PA,211088,Glenside,19038-3295,0.6229,2233.0,42330.0,
PA,211130,Philadelphia,19123,,,,
PA,211149,Pittsburgh,15233,0.8529,141.0,,
PA,211158,Bloomsburg,17815,0.7325,8276.0,10500.0,
PA,211200,Pittsburgh,15219,0.9054,352.0,15380.0,
PA,211273,Bryn Mawr,19010,0.3801,1328.0,50500.0,
PA,211291,Lewisburg,17837,0.3108,3588.0,53986.0,
PA,211307,Newtown,18940-4106,,7257.0,4418.0,
PA,211316,Feasterville,19053-7368,,72.0,,
PA,211334,Butler,16001,,20.0,,
PA,211343,Butler,16002,,2803.0,4800.0,
PA,211352,Radnor,19087-3698,0.7321,1536.0,31350.0,
PA,211361,California,15419-1394,0.961,5435.0,10840.0,
PA,211431,Pittsburgh,15213-3165,0.9164,1339.0,28596.0,
PA,211440,Pittsburgh,15213-3890,0.222,6434.0,53910.0,
PA,211468,Allentown,18104-6196,0.6333,1413.0,38092.0,
PA,211477,Summerdale,17093-0309,0.789,1188.0,18174.0,
PA,211556,Pittsburgh,15232,0.5455,981.0,36510.0,
PA,211583,Philadelphia,19118-2693,0.9572,1317.0,35180.0,
PA,211608,Cheyney,19319-0200,,722.0,12104.0,
PA,211617,Philadelphia,19154,,586.0,,
PA,211635,Tarentum,15084,0.0,158.0,,
PA,211644,Clarion,16214,0.9549,4214.0,10890.0,
PA,211802,Johnstown,15905-4398,0.8913,228.0,,
PA,211820,York,17404,,114.0,,
PA,211893,Philadelphia,19103,0.033,131.0,2675.0,
PA,211909,Pittsburgh,15226-1197,,151.0,14550.0,
PA,211927,Media,19063-1094,,11030.0,5291.0,
PA,211981,Doylestown,18901-2697,0.664,1908.0,38000.0,
PA,212009,Carlisle,17013-2896,0.4871,2339.0,52955.0,
PA,212018,Carlisle,17013-2861,,,,
PA,212045,Monessen,15062,,229.0,16029.0,
PA,212054,Philadelphia,19104,0.7904,15335.0,52002.0,
PA,212106,Pittsburgh,15282,0.717,5930.0,36394.0,
PA,212115,East Stroudsburg,18301-2999,0.8356,5972.0,10098.0,
PA,212133,Saint Davids,19087-3696,0.6561,1837.0,32145.0,
PA,212160,Edinboro,16444-0001,0.9253,4229.0,10282.0,
PA,212197,Elizabethtown,17022-2298,0.7402,1647.0,45350.0,
PA,212230,Lebanon,17042,,41.0,,
PA,212267,York,17402,,84.0,,
PA,212276,Lancaster,17603,,78.0,,
PA,212294,Shamokin Dam,17876,,46.0,,
PA,212300,Pottsville,17901,,52.0,,
PA,212328,Whitehall,18052,,103.0,,
PA,212355,Moosic,18507,,141.0,,
PA,212373,Warminster,18974,,28.0,,
PA,212382,Harrisburg,17109,,123.0,,
PA,212391,Reading,19605,,119.0,,
PA,212434,Erie,16565,,295.0,13770.0,
PA,212443,Myerstown,17067-1222,,,,
PA,212568,Trevose,19053-6939,,200.0,18585.0,
PA,212577,Lancaster,17604-3003,0.3411,2269.0,54380.0,
PA,212601,Erie,16541-0001,0.799,2616.0,30932.0,
PA,212656,Beaver Falls,15010-3599,0.6901,1330.0,26070.0,
PA,212674,Gettysburg,17325,0.458,2411.0,52640.0,
PA,212753,Philadelphia,19154,,144.0,,
PA,212771,Melrose Park,19027-3010,,47.0,,
PA,212805,Grove City,16127-2104,0.7987,2327.0,17254.0,
PA,212832,Gwynedd Valley,19437-0901,0.9377,1987.0,33600.0,
PA,212869,Bryn Mawr,19010-3470,,1436.0,23670.0,
PA,212878,Harrisburg,17110-2999,,15968.0,6473.0,
PA,212911,Haverford,19041-1392,0.2005,1291.0,52994.0,
PA,212975,Johnstown,15905-3092,,183.0,16836.0,
PA,212984,Philadelphia,19114-2009,0.7075,1904.0,30346.0,
PA,212993,Philadelphia,19130,0.6939,52.0,19650.0,
PA,213002,Pittsburgh,15222,,250.0,,
PA,213011,Immaculata,19345,0.8294,1383.0,27350.0,
PA,213020,Indiana,15705-1098,0.9082,9965.0,12119.0,
PA,213163,New Castle,16105,,46.0,10781.0,
PA,213181,Erie,16509-2482,0.7593,396.0,,
PA,213215,Wilkes Barre,18702,,169.0,,
PA,213233,Scranton,18508-1495,0.9644,446.0,18567.0,
PA,213251,Huntingdon,16652-2196,0.7077,1371.0,43875.0,
PA,213303,La Plume,18440-0200,0.944,1274.0,26670.0,
PA,213321,Wilkes-Barre,18711-0801,0.7092,2065.0,35830.0,
PA,213330,Kittanning,16201,,8.0,,
PA,213349,Kutztown,19530-0730,0.8314,7443.0,9987.0,
PA,213358,Pittsburgh,15237-5898,0.9657,1312.0,27720.0,
PA,213367,Philadelphia,19141-1199,0.7927,3708.0,29500.0,
PA,213376,Scranton,18509-3206,,1506.0,15160.0,
PA,213385,Easton,18042-1768,0.3081,2567.0,51600.0,
PA,213400,Lancaster,17601-5036,0.7181,1504.0,22580.0,
PA,213446,Lancaster,17603-2897,,,,
PA,213455,Lancaster,17602,,185.0,,
PA,213473,North Wales,19454-4114,,163.0,10800.0,
PA,213491,Lansdale,19446-2003,,53.0,,
PA,213507,Annville,17003-1400,0.73,1658.0,42180.0,
PA,213525,Schnecksville,18078-2598,,5588.0,3990.0,
PA,213534,Wyomissing,19610-1168,,724.0,11260.0,
PA,213543,Bethlehem,18015,0.2515,5057.0,50740.0,
PA,213552,Levittown,19054,,91.0,,
PA,213570,Allentown,18104-9889,,444.0,,
PA,213589,Philadelphia,19136,,246.0,,
PA,213598,Lincoln University,19352-0999,0.7968,1994.0,11379.0,
PA,213613,Lock Haven,17745-2390,0.8904,3425.0,10576.0,
PA,213622,Pittsburgh,15238-3250,0.5714,92.0,15315.0,
PA,213631,Gettysburg,17325-1795,,,,
